UserId,Product SKU,ProductDetailView
3451,3,2
534,2,1
2865,3,1
2294,5,2
3587,3,1
2121,5,1
356,2,2
3948,2,2
2121,3,1
1766,2,1
3933,5,2
2982,2,1
1393,5,3
3877,2,2
2883,5,3
1103,6,1
1316,2,2
3957,4,3
1987,8,2
846,3,1
676,3,3
2106,3,3
1324,5,1
3199,6,1
2753,3,1
3211,5,3
3297,3,2
407,3,1
2772,2,1
3579,3,3
3587,2,3
730,5,3
1941,3,3
1127,8,1
1213,5,2
2246,10,3
127,2,3
1760,2,1
208,1,3
3584,3,2
2621,3,1
3738,2,3
1201,6,2
1951,2,3
3921,5,2
2446,5,2
3566,9,2
3468,2,1
2493,6,3
2693,9,1
3398,8,1
2217,5,3
3324,2,2
3994,1,1
3404,7,1
905,2,1
1198,5,2
1054,6,3
463,10,1
1180,8,1
3403,5,3
2043,3,1
421,3,2
1681,3,2
2969,5,2
1764,5,1
570,4,3
2142,5,2
1965,1,2
765,5,2
3335,2,1
1169,3,1
2613,5,1
338,5,2
3860,3,3
2714,3,3
1168,5,2
395,10,1
1124,10,2
2772,5,1
3382,5,2
837,2,2
113,6,1
1743,9,1
127,3,1
530,5,1
1333,3,2
2077,2,3
1164,2,2
3366,2,2
650,3,2
3762,4,3
1917,3,3
1294,10,1
3135,2,1
3844,2,2
2851,8,1
1941,8,3
1706,5,3
3788,3,3
426,2,3
48,2,2
1760,3,1
3377,5,3
81,3,1
2411,3,2
3560,3,1
975,2,2
530,6,2
3577,3,2
3400,5,3
2930,1,2
2462,3,3
232,5,3
1807,9,3
972,5,3
2770,8,3
2982,1,3
1679,5,3
1396,7,2
1297,5,2
2895,2,3
2235,8,1
3500,9,1
1722,1,2
3068,2,1
1127,2,3
1244,5,2
2609,2,1
2016,5,3
90,3,2
1171,1,2
3513,7,3
2159,5,2
1488,10,3
873,9,2
1852,2,2
2446,2,2
3512,2,2
3837,3,1
3692,2,3
1401,6,2
3400,10,3
2353,5,1
1069,3,1
3941,10,3
496,2,1
1458,8,2
2615,3,1
3921,5,1
3498,7,2
3438,3,3
84,10,1
2228,4,1
426,2,1
3146,8,2
229,3,2
393,10,2
664,5,1
3203,2,3
667,3,3
1682,4,3
1256,2,3
618,2,1
197,2,3
588,2,2
2673,6,2
3415,2,3
913,5,2
3975,5,3
2742,2,1
3932,5,3
2669,7,1
618,8,3
2443,6,2
1143,2,2
1951,5,2
3802,3,1
1534,3,1
1747,2,3
3648,9,3
3409,9,1
3802,4,3
1200,9,2
3124,4,1
1884,2,2
2834,3,1
1157,7,1
117,1,3
3712,5,2
710,9,3
175,8,2
3401,2,3
2054,7,1
2924,5,2
3256,5,1
618,5,2
338,2,3
407,5,2
983,2,2
3519,3,3
706,1,2
3116,2,1
3298,8,1
2063,2,1
2985,4,2
1676,5,3
2598,2,3
1466,2,1
2532,10,3
240,2,2
865,7,3
2826,10,3
2700,5,3
3461,2,2
3620,5,3
3628,5,3
3267,2,2
1793,10,1
2509,2,3
240,10,2
128,1,2
3310,1,3
729,3,1
534,10,3
935,8,1
1250,5,2
127,7,1
741,1,3
211,5,1
3197,10,1
3695,3,1
1998,5,3
1940,9,2
3461,6,1
2650,6,1
3301,7,3
966,2,2
1705,4,2
140,3,2
3897,2,2
495,3,3
3388,2,1
776,5,3
939,3,1
384,1,3
3557,8,2
1703,2,1
2060,4,2
1067,2,2
3451,2,3
2836,3,3
2995,2,3
789,5,1
2555,5,3
2555,5,3
3867,3,1
1609,2,1
664,5,3
3499,5,1
591,8,2
1670,8,2
1552,9,2
2753,3,1
2726,8,2
3877,6,3
1888,5,1
3335,2,2
1533,8,1
979,5,3
2099,2,2
450,9,1
811,5,3
3613,2,1
2205,2,3
1131,3,1
2112,3,2
3644,2,1
2157,7,2
2615,5,2
1198,3,3
1879,5,2
233,10,1
1987,5,2
1117,3,2
1070,5,1
2555,5,3
2708,2,2
3404,7,1
3062,3,1
1538,3,3
437,3,3
48,3,2
3515,3,3
3877,4,2
3994,7,1
747,4,3
446,5,3
3519,3,1
3269,9,2
1059,5,3
2323,2,3
1131,3,1
151,2,3
1833,5,1
3177,2,1
687,5,2
2928,8,3
423,3,3
3045,2,1
2613,5,3
1408,3,1
2267,10,1
3821,6,1
1737,6,2
2441,8,2
1108,3,1
3220,3,3
229,3,1
1572,2,3
570,8,3
3979,10,2
3712,7,2
2069,2,3
1123,3,1
2808,3,1
1080,5,1
1724,3,2
3948,10,3
117,3,2
2801,2,3
2342,1,3
1021,8,1
814,2,2
2757,4,2
661,5,1
3548,3,2
2731,8,2
151,5,1
229,2,3
1670,9,1
1807,3,1
2827,5,1
2532,5,3
3286,5,2
3011,5,1
2246,5,1
1070,3,3
3652,5,1
2488,7,2
3400,2,3
3538,5,1
149,5,2
1523,5,2
1843,5,3
3513,5,2
3912,5,1
2494,5,2
3485,1,1
1786,5,2
1158,10,2
421,5,1
959,4,2
2488,2,2
1707,9,3
375,5,1
3762,3,1
1682,5,1
1282,5,2
827,8,1
3382,3,1
2570,3,3
1869,4,1
819,5,1
1609,3,2
1676,5,2
3377,5,3
1452,1,2
1108,3,2
3723,2,1
1020,3,1
3897,10,2
3862,4,3
1607,5,3
2660,3,2
3713,2,2
3405,10,2
1893,10,2
1523,2,2
1599,10,3
2655,8,1
2173,5,2
1307,9,1
3058,7,1
2736,5,3
2333,5,1
2697,9,2
676,2,2
3461,4,1
206,10,2
1256,5,3
842,1,3
2746,5,3
1560,2,3
2376,2,1
3233,3,3
2496,1,3
120,2,1
3301,10,2
2443,5,1
1269,5,1
2566,3,1
522,3,2
1869,2,3
2303,2,1
1065,5,1
3475,3,3
2282,5,2
2450,3,1
324,3,1
1168,6,2
636,6,3
1989,3,3
716,3,2
3301,3,2
2286,4,1
318,2,3
298,2,2
963,3,1
3444,6,3
144,10,3
3074,3,2
2677,3,1
2915,2,1
2588,10,1
3477,3,3
1852,10,2
913,4,1
276,5,3
838,5,1
3592,5,3
672,6,3
2411,7,1
939,3,1
455,6,1
2376,2,2
1059,7,1
3283,2,2
540,2,2
3401,3,2
1749,3,2
1607,5,2
1793,5,1
2928,6,3
1223,9,2
2219,7,1
241,3,3
1746,3,2
1932,9,3
1640,2,1
888,8,3
1670,3,1
3519,5,1
2494,9,1
2650,10,1
1146,5,2
1601,2,2
206,5,2
975,3,3
38,2,3
1243,6,1
2163,1,3
3557,5,1
3557,6,2
2964,5,1
1146,8,2
1479,8,2
2775,3,2
1223,2,1
1199,3,1
3205,6,3
560,5,3
84,1,2
710,2,3
2697,2,2
2801,3,1
1720,3,1
2742,10,2
2970,3,1
840,5,3
3986,4,1
2757,9,1
2570,9,1
3575,2,1
1626,3,2
3472,5,3
3379,2,1
3897,2,1
2731,8,3
1213,5,3
3713,5,2
1070,2,1
1324,5,2
2509,3,1
3922,5,1
3224,10,1
3713,3,3
1264,5,1
232,5,3
2435,7,2
3557,3,2
2063,3,3
1707,2,1
2772,3,2
1310,6,3
128,7,1
227,8,3
1895,5,1
2,5,1
2128,3,1
2890,5,2
3991,2,3
3352,9,1
2585,2,2
3427,7,2
2235,8,2
1601,10,2
280,6,3
2598,6,2
824,2,1
1783,5,1
3696,3,2
2467,3,2
1468,7,1
3538,5,3
2997,6,3
2257,5,1
1706,10,2
3473,2,1
2171,5,2
1019,4,2
2583,2,1
2894,3,2
1760,3,1
3877,2,2
622,9,1
388,3,3
2532,3,2
3877,2,2
318,3,1
2990,3,2
975,3,2
1159,9,1
3575,3,3
2552,8,2
1934,3,2
2659,3,2
874,2,2
2976,6,2
892,5,3
1450,5,3
2956,4,3
2371,5,2
2121,6,1
2801,3,3
2956,2,3
3146,2,1
1108,3,3
2944,5,3
2162,2,2
1640,3,2
1984,7,3
3662,1,2
3765,9,2
2969,3,2
610,5,2
2742,4,2
2282,5,1
831,3,2
1836,4,2
2440,8,2
2437,3,2
425,1,1
38,2,3
3911,9,1
1152,5,1
1272,7,1
1682,10,2
2544,5,3
407,10,1
857,2,1
3560,5,2
229,3,1
3662,2,2
2976,7,2
3867,5,1
404,3,1
3345,3,1
1144,2,3
1934,4,1
3284,10,2
1360,6,1
785,10,3
2966,3,1
1472,3,3
1610,5,1
3403,2,2
1307,5,1
384,7,1
1186,3,1
3518,1,1
2655,1,1
2121,5,1
2567,3,2
1706,5,2
3471,4,3
2156,5,3
2883,5,1
3804,7,3
3220,5,3
441,3,3
1904,2,3
1782,8,2
2936,9,2
2205,5,1
1670,2,3
3135,5,3
2895,7,3
3872,9,1
1670,6,1
2525,3,1
1705,3,1
2441,2,2
446,5,2
2441,3,2
3238,2,2
2412,6,3
1069,9,3
1277,3,1
1169,2,1
2955,5,2
33,3,1
3135,5,1
3310,2,1
2672,3,3
3557,2,2
3860,8,2
1024,5,3
2028,5,2
966,3,1
1186,2,2
276,3,3
2714,8,2
2412,3,2
2940,2,3
717,5,3
2727,2,1
2974,6,2
3751,5,3
1065,3,2
2836,2,1
2739,2,2
2940,2,2
2673,4,2
1782,5,2
1136,3,3
1112,8,3
1698,10,2
3986,5,1
3692,3,2
1283,5,2
3584,6,3
3033,3,2
344,2,1
2828,9,1
1440,3,2
2770,3,2
3644,4,1
3532,8,3
1482,9,3
2810,7,1
3339,7,3
3163,10,2
1502,10,1
375,5,3
298,2,3
3708,4,1
370,6,1
1572,4,3
570,2,2
1307,8,2
3160,2,2
2119,6,1
572,2,2
2693,1,3
3135,2,1
2586,10,1
1724,4,2
1282,10,3
1497,2,2
2677,5,1
1482,3,1
3045,3,3
1651,6,2
1467,4,1
3519,3,1
1766,2,1
2362,2,2
1207,2,1
2354,8,1
1201,5,3
3994,7,3
2955,2,3
2613,5,1
908,5,3
3079,4,1
2633,5,2
3713,3,2
356,5,1
1231,1,1
1901,2,1
2099,5,1
3862,3,3
1343,2,1
952,8,1
3910,3,1
913,1,2
205,3,2
3747,2,1
2203,2,3
1074,10,1
2546,4,3
1560,2,1
2294,2,2
1200,2,3
802,2,3
2043,3,3
2973,4,2
3160,10,1
2462,1,3
211,3,1
276,1,3
1389,5,1
2746,3,2
543,10,2
200,9,2
2373,5,2
3918,9,2
2074,3,3
2446,4,2
136,3,2
2796,2,2
2990,3,2
1776,3,3
1836,2,1
2467,5,1
838,5,2
2844,5,1
1980,2,3
2043,4,1
324,2,1
2647,3,1
240,3,2
1568,5,2
730,7,2
1786,2,1
688,9,3
785,2,1
1255,2,1
2390,5,2
163,4,2
831,3,3
507,10,3
2163,2,2
259,5,3
2395,3,2
2205,5,1
3401,8,1
1389,3,2
3979,5,1
326,3,2
1984,3,3
3889,3,1
3475,2,3
3666,5,1
1319,5,1
1440,2,3
3199,3,1
2831,1,2
1650,6,2
3128,9,2
3020,2,2
583,3,1
1108,3,2
2282,2,2
1033,2,1
783,3,2
3177,2,1
3892,5,2
2286,7,3
2493,3,1
3345,5,2
3290,8,2
324,2,1
421,2,3
3678,10,1
3458,5,1
2437,5,1
2588,2,1
3986,8,2
527,10,1
3211,5,3
3678,1,3
1611,5,3
1599,3,2
445,3,3
455,3,3
2131,2,2
3872,7,2
3475,5,1
3237,5,3
687,2,2
908,9,2
1172,9,2
205,4,1
2080,2,1
2940,3,1
3738,7,2
1450,4,3
2059,2,1
3058,3,3
2930,3,2
1951,5,3
1157,2,2
2570,2,1
2956,5,2
3579,10,2
3148,6,2
3712,3,2
775,10,1
3675,3,2
3344,5,3
2915,5,3
2177,5,3
1979,7,1
1533,5,2
731,3,3
1670,3,3
2647,5,1
2814,5,1
1719,4,1
1575,8,1
3380,3,1
2028,5,1
2509,2,2
2494,2,2
2350,1,3
1651,5,1
3381,2,1
3587,2,1
3885,2,2
3911,5,3
449,8,3
1065,3,3
2801,5,2
2828,3,1
3802,5,3
400,3,3
2142,2,1
840,9,3
2726,2,2
3225,5,1
649,2,2
1270,10,3
207,10,2
3135,3,2
322,10,2
3762,2,3
3517,3,2
1059,5,3
868,2,3
3584,2,1
2944,4,2
3885,8,3
1496,5,1
1992,9,1
1965,10,2
1893,3,3
2412,7,2
2286,3,2
3932,5,3
618,8,3
576,3,2
197,3,2
3990,4,1
2708,3,2
1572,5,1
393,8,1
2467,3,1
831,5,1
3398,2,2
1766,6,1
3197,3,3
2969,3,1
1198,9,2
2865,10,3
62,4,2
3670,2,1
3519,5,2
338,3,2
175,2,2
370,9,1
3062,9,1
3224,10,3
318,3,2
2588,5,3
232,10,3
2395,7,1
1764,3,2
1017,8,1
3500,5,2
1575,3,2
1279,2,1
241,2,2
3556,5,3
1228,8,3
2775,3,1
3762,2,2
3777,2,2
2255,4,3
11,3,1
1103,10,3
1575,1,1
2976,3,3
2067,8,3
1012,2,3
922,5,1
1488,5,3
81,5,3
730,2,1
2781,2,2
127,2,1
1131,4,3
3695,3,2
62,8,2
3518,2,3
675,3,1
2333,10,3
3490,3,2
717,10,3
1269,2,3
3344,4,1
1447,6,3
38,10,3
1207,9,1
2891,7,3
3438,10,3
2847,3,2
2142,10,1
3583,5,3
2916,2,2
2303,5,1
3532,7,2
445,10,3
1502,3,3
1524,1,1
2997,3,1
2229,6,1
3515,9,3
2084,5,1
1108,5,2
874,5,1
3377,5,2
140,7,1
1428,3,2
2934,5,3
495,3,2
2821,4,2
3686,3,1
1201,7,3
3262,5,1
1679,8,3
2831,7,2
128,5,3
3872,6,1
404,5,1
1893,3,2
1266,3,3
3910,5,2
2552,4,2
2891,1,2
2753,2,3
1992,8,3
827,10,3
2993,10,3
2282,10,1
3538,5,3
1248,6,2
1893,2,1
664,3,3
2853,5,3
1059,2,2
2955,8,3
952,3,3
2255,5,1
2356,2,1
3802,2,1
1349,5,2
3020,1,3
1786,4,3
909,9,3
418,5,2
706,5,2
1172,3,2
1630,3,2
2600,3,3
2969,5,3
1310,5,3
2828,5,3
2074,2,1
3213,2,2
3942,2,3
1625,4,1
2371,2,3
3551,4,1
3214,3,1
1904,2,1
2600,8,3
3269,3,3
961,2,2
2621,2,1
1766,3,2
610,5,2
153,10,3
1705,3,3
227,8,2
2726,3,3
2814,4,2
115,5,1
2796,5,2
720,3,3
206,5,3
450,9,2
1901,10,2
553,2,1
437,3,1
2334,10,3
2106,5,2
3135,5,2
2750,5,2
1269,2,3
1673,2,2
3082,3,2
1737,5,2
3038,9,1
1980,2,1
3382,1,1
822,2,2
1737,3,2
2757,3,1
3728,2,1
3573,4,1
3600,3,2
3623,2,2
3225,5,1
2303,2,2
864,9,3
847,7,2
254,3,1
2828,3,2
1987,6,3
842,4,3
1719,7,2
3577,2,1
1189,5,3
2828,5,2
205,3,1
445,3,2
117,5,1
3761,2,1
2488,2,3
2028,3,1
3405,5,1
2826,2,3
1793,3,1
3160,3,3
2966,1,2
2274,2,1
721,2,3
3499,5,2
2928,2,1
207,10,3
3385,5,1
3557,4,2
1935,5,1
84,3,1
1628,2,1
1681,5,2
425,3,2
3238,2,2
2581,2,3
3551,2,3
3160,9,1
2126,9,3
2966,1,1
987,2,2
3657,2,1
2084,2,1
11,6,2
1152,9,1
865,3,3
733,4,3
1536,4,2
258,2,1
1144,2,3
1199,3,2
200,10,1
2826,7,2
1523,3,3
3827,2,2
2739,2,2
717,3,3
1152,1,1
1769,10,2
959,2,1
3485,2,3
1917,9,1
3519,8,3
1610,2,2
1681,3,3
1783,10,3
622,10,1
1917,4,1
1550,3,1
907,3,2
710,5,2
2739,2,1
3844,5,2
908,2,2
3020,7,1
2990,8,3
1161,1,2
197,5,3
2172,5,2
2538,3,1
3910,7,3
3538,3,1
278,9,3
3533,2,1
1333,1,2
3243,2,1
1024,2,1
838,3,1
574,5,3
493,8,3
3548,3,1
